OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
-3.7506961 deg,-38.6108763 deg,12.741000175476074 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506961 deg,-38.6108763 deg,12.741000175476074 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7505759 deg,-38.6107948 deg,56.099998474121094 m,6.900000095367432,Not Available,Not Available
-3.7497377 deg,-38.6138134 deg,899.9990234375 m,Not Available,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506179 deg,-38.6108466 deg,64.0999984741211 m,6.900000095367432,Not Available,Not Available
-3.7506179 deg,-38.6108466 deg,64.0999984741211 m,6.900000095367432,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506169 deg,-38.6108786 deg,82.5 m,6.900000095367432,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7446478 deg,-38.607306 deg,56.099998474121094 m,6.900000095367432,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7446478 deg,-38.607306 deg,56.099998474121094 m,6.900000095367432,Not Available,Not Available
-3.7446478 deg,-38.607306 deg,56.099998474121094 m,6.900000095367432,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506293 deg,-38.6108852 deg,110 m,6.900000095367432,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506974 deg,-38.610872 deg,20 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506979 deg,-38.6108752 deg,20 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506977 deg,-38.6108725 deg,20 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7507022 deg,-38.6108788 deg,20 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7507022 deg,-38.6108788 deg,20 m,7.300000190734863,Not Available,Not Available
-3.7507022 deg,-38.6108788 deg,20 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7507033 deg,-38.6108677 deg,12.979000091552734 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7507172 deg,-38.6108653 deg,28.100000381469727 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7507009 deg,-38.6108733 deg,20 m,7.300000190734863,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.7506181 deg,-38.6108847 deg,68.4000015258789 m,6.900000095367432,Not Available,Not Available
Android 11,Linux armv8l,8,4,ARM,Mali-G72,412x892,Chrome/92.0.4515.166,179.240.29.238,South America,Brazil,State of Ceará,Fortaleza,Claro S/A,Claro S/A,-3.750705 deg,-38.6108715 deg,14.961000442504883 m,7.300000190734863,Not Available,Not Available
-3.7507015 deg,-38.6108723 deg,16.711000442504883 m,7.300000190734863,Not Available,Not Available
-3.7507015 deg,-38.6108723 deg,16.711000442504883 m,7.300000190734863,Not Available,Not Available
